"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Chile","CHL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42433","38799","50075","43632","51227","53451","","",
"China","CHN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3435107","4696838","5840799","6960069","7853487","8332783","8477576","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","345232","","","","","","","","","","","","","","","","","","","608450","607288","","596975","621772","571090","586812","611887","","","","","","651110","","","","","",
"Cameroon","CMR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","234976","243498","261598","276300","252653","250155","264624","267067","268638","274963","","","","","","","","298007","","327905","356664","","","","","","","","","","","","","","","","","","","","","244125","","",
"Congo, Rep.","COG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","24569","","18680","","13762","","7895","","16951","18615","17789","16779","15916","","","","","","","","","","","","","","","","","","","","","114863","130144","","","","43500","","14900","","",
"Colombia","COL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","613495","","","","","484223","","","","","","","","84862","77107","","171510","","","83092","103967","124918","143355","157974","196033","","","","",
"Comoros","COM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","10725","","","","","","","14976","","","","","14762","11821","","","","","","","9336","","","","","","10749","",
"Cabo Verde","CPV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","2911","3310","4299","2637","2292","2202","2071","859","","789","","","","","","","","","","","691","627","781","1169","1599","1975","2321","2571","2416","1962","1769","1269","902","",
"Costa Rica","CRI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","24408","","22023","19950","","15418","11051","","13197","15678","15824","15561","18613","","","24797","23336","23802","","24998","25589","25090","","","","","","","","","","","","","","","","","","","","10290","15149","19239","",
"Caribbean small states","CSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","29230","29614","29171","31001","26358","37372","41270","30451","27841","26325","29185","25768","20673","18412","19716","21657","21988","17562","17393","11874","15331","23021","27811","30797","30027","27822","26232","24695","19553","17256","18123","22069","23883","25095","22409","24550","27602","28901","27029","30143","28520","28756","31435","","",
"Cuba","CUB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","42752","35879","30725","","","","","13279","20566","32541","38673","38076","41749","50558","45473","35364","35487","33619","33290","35455","25568","22926","13004","13522","6470","8228","9087","8715","12055","15068","17502","27195","27735","24191","17497","8373","4416","","1359","7394","12879","13257","",
"Curacao","CUW","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","7790","8085","7978","8189","10244","10938","11028","10567","10066","10114","9116","10048","10169","10188","9955","8517","7309","7058","7228","7572","7733","8672","715","1003","1217","1296","1138","","655","511","697","386","369","403","75","138","209","358","298","140","198","436","","",
"Czech Republic","CZE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12776","43506","42095","28089","16194","","","","","","","1893","","",
"Djibouti","DJI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","27497","28658","30799","32724","34257","35083","","36131","37804","38913","40345","42736","45241","","48000","47788","46037","44769","","40789","38399","35189","31524","23118","23016","","19550","","20711","18766",
"Dominica","DMA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","502","424","","743","950","778","780","","","","","","","","","","","","","","","","","","","","","","10","137","182","466","432","48","93","","","","",
"Denmark","DNK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","9621","7756","3857","2154","1895","2629","1867","1504","3629","3691","2771","4319","5050","2217","2429","3043","","","3057","2383","","","","2174","6339","5399","4236","4606","4830","5253","3733","3143","","",
"Dominican Republic","DOM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96284","92240","","74489","95892","105117","94741","98842","66082","86972","57373","65244","62367","72759","","",
"Algeria","DZA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","586829","554079","533333","515594","498042","488228","493823","490043","498468","518427","540146","535799","536777","520508","502703","494522","489554","499467","481535","470119","482735","476364","459175","447518","440458","","329625","291865","228218","181694","158044","136625","131108","132473","129807","104046","55330","","","","","",
"East Asia & Pacific (developing only)","EAP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","11392716","6461415","4734963","5564039","5588080","6164289","7438109","8643259","9788088","10827841","11258268","11580199","8748847","5881206","5511154","4903713","4525226","4339207","4433194","4760485","4794885","3860492","3498994","3196613","2951807","2759324","3212053","","",
"East Asia & Pacific (all income levels)","EAS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","11467048","6501934","4768223","5597475","5631885","6219417","7497779","8727639","9861172","10912971","11338347","11668732","8848572","5974540","5603616","5012668","4635060","4442217","4542725","4871635","4898517","3944338","3574945","3266493","3029656","2835033","3277953","","",
"Europe & Central Asia (developing only)","ECA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","949255","941765","1024280","1065000","916126","817323","715794","599012","508349","546742","509297","478366","468733","453826","424028","481544","441602","432784","447918","","",
"Europe & Central Asia (all income levels)","ECS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1323700","1344300","1491548","1554385","1625515","1586457","1580520","1377842","1257926","1078537","837399","703557","772563","770422","912168","834972","787504","694344","699280","631108","608743","619540","","",
"Ecuador","ECU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","97674","","100859","96729","100138","99705","84909","76075","60216","69572","","","","","","","","","","","","","","45277","44757","38525","21176","16712","16616","10048","","","","","","","","","14509","20073","20360","21214","19334","",
"Egypt, Arab Rep.","EGY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","1457062","1490700","1532395","","","","","1537855","","","","","","","","","","","","","","","","603344","","","","","337545","275607","199091","162191","142544","93942","","","","","","","","","","",
"Euro area","EMU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","335319","318723","340078","301542","306503","299398","316707","281200","258522","264167","300102","342108","375755","348445","299258","198813","200286","178270","174316","179851","176699","206816","236229","254616","216328","163289","134073","88879","72519","62550","82088","118266","133797","143607","107728","82691","62199","59043","55158","53573","62091","65852","","",
"Eritrea","ERI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","62899","43611","36490","","","","1920","23945","19089","","","","","","","","","","","","","","","","","","","","5705","1061","1174","1389","2768","2267","5658","5814","4183","2914","1046","2010","2020","1822","","",
"Estonia","EST","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9112","6499","","85","118","177","183","","1186","944","993","1133","1297","1074","1148","994","1110","923","","",
"Ethiopia","ETH","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","2559034","2636946","2749846","","","","","3739703","3810174","3785703","","3666901","3610386","3471490","3319505","3284547","3335102","3231420","2632511","2163781","","","","","","","","",
"European Union","EUU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","506643","481162","499445","495665","543262","555215","588750","617107","714460","726352","756062","726547","710051","612381","604097","602945","622669","656555","664180","680639","646099","579593","529263","479429","386959","242324","245097","217970","208715","226924","241768","278459","239410","218040","203615","170809","157329","169341","177131","187406","","",
"Fragile and conflict affected situations","FCS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","8538920","8799861","8902610","8904916","8897408","9014868","8849061","","","","","","","","","","","","","","","10744203","10923870","11384585","11731772","11967454","12281362","12354241","12151759","11643494","11096807","10782398","10827269","10480156","10483973","9868063","9850655","9780204","9618565","9358768","","",
"Finland","FIN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2222","2225","2871","2267","2034","1004","","","334","858","2379","4202","4615","5293","4464","4262","4085","3564","2896","1629","","",
"Fiji","FJI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1806","","1481","2140","3636","3413","2817","2940","2890","1223","","313","327","","213","","","337","","102","","","",
"France","FRA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","39791","35897","","","","","94887","","33214","49661","","121453","145819","","74500","","","","","","","52771","95061","97386","62650","23539","15854","","3258","3514","12120","16792","23109","29973","9097","10238","10290","10688","9968","9862","10089","10071","","",
"Faeroe Islands","FRO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","816",
"Gabon","GAB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7070","","","","","","","","","","","","","","","","","",
