Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
United States								95.83				89.66				87.09				88.68				88.6				87.75				86.2				89.96				82.26				85.55				88.5				70.33				67.95		
Uzbekistan																																			94																90.6							
St. Vincent and the Grenadines																																																										
"Venezuela, RB"							92.21					96.73					96.52					87.55					87.75					81.92					60.16					63.45		56.31						74.69						80.28	79.64	
Virgin Islands (U.S.)																																																										
Vietnam																																																										
Vanuatu																																																										
West Bank and Gaza																																																										
World																																																										
Samoa																																																										
"Yemen, Rep."																																																		65.16						64.78		
South Africa																																																										
"Congo, Dem. Rep."																																																		65.36					59.05			
Zambia																																			44.44					55.52					67.81					70.77		45.43			53.65			
Zimbabwe																																								32.3						54.33						42.37					54.38	
