Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
United States				63.06				61.92				60.84				62.92				59.16				59.25				59.94				57.4				61.32				54.23				53.85				63.82				57.47				54.62		
Uzbekistan																																			89.12									91.2							89.84							
St. Vincent and the Grenadines																																																										
"Venezuela, RB"							79.49					86.62					81.07					74.47					77.1					72.94					48.52					52		46.71						76.41						81.98	80.16	
Virgin Islands (U.S.)																																																										
Vietnam																																																										
Vanuatu																																																										
West Bank and Gaza																																																										
World																																																										
Samoa																																																										
"Yemen, Rep."																																																		62.89						54.16		
South Africa																																																										
"Congo, Dem. Rep."																					86.14																													57.06					55.56			
Zambia																																			34.25					28.18					35.08					55.75		34.18			42.25			
Zimbabwe																																		56.36						26.68						54.25						47.27					61.09	
