Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.58,,,,,,44.68,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.28,,,
United Kingdom,,,,,,,,77.17,,75.96,,,,72.15,,,,72.93,,,,,76,,,,72.81,,,,75.42,,,,,77.83,,,,,71.46,,,,59.38,,,,61.36,,,,,65.77,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.77,,,68.18,,,,67.87,,,,60.06,63.93,,,,53.39,,,,59.76,,
Ghana,,,,,,,,,,,,,63.2,,,,,,,,,,35.25,,,,,,,,,,,,,28.07,,,,65,,,,61.19,,,,85.12,,,,69.52,,,,80.01,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.86,,,,,,,71.98,,,,,,,,,,,63.53,
"Gambia, The",,,,,,,,,,,,,,,,76.07,,,,,81.94,,,,,,,,,,80.2,,,,,55.8,,,,,73.21,,,,,56.38,,,,,41.7,,,,,19.44,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,80,,,,,74.37,,,,82,,,,,,88.57
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.94,,,,,96.45,,,,,,,,,,
Greece,,,,,81.87,,83.04,81.69,,,,,,,,,,79.58,,,81.11,,,,81.5,,,,83.81,,,,84.5,,,,82.95,,,76.34,,,,74.97,,,,76.62,,,74.14,,70.92,,,62.47,,
Grenada,,,,,,,,,,,,,,,,83.49,,,,65.26,,,,,,,,86.19,,,,,,68.42,,,,,61.78,,,,56.67,,,,57.42,,,,,80.3,,,,,87.73,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,44.48,,,,,55.01,,,,53.26,,,,46.35,,,,40,,,,45.59,,,69.16,,,,,56.44,,,,21.01,46.8,,,,40.39,,,,54.5,,,,60.46,,,,69.38,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,96.98,,,,85.14,,,,,82.92,,,,,,,93.64,,,,,,,,,,,,81,,,,,88.42,,,,91.73,,,,,68.82,,,,,72.89,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,75.3,,,,,,67.54,,,,,,,,,81.35,77.95,,,,84.02,,,,76.03,,,,64.97,,,,71.83,,,,66.31,,,,45.97,,,,50.05,,,,61.16,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.61,,,68.79,,,,,76.55,,,61.65,,,,59.58,,,,54.17,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.16,,,,,31.09,,,,,59.99,,,,,,28.31,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,,,,68.92,,,,57.01,,,,70.52,,,,67.57,,,,64.38,,,,61.84
Indonesia,,,,,,,,,,,,,,,94.02,,,,,,90.57,,,,,91.23,,,,,91.3,,,,,90.91,,,,,88.93,,93.3,,,,,84.09,,,,,70.99,,,,,75.11
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,55.42,,,,,61.04,,,,55.25,,,,,,60.49,,,56.92,,,,63.56,,,,,61.98,,56.73,,,,,57.94,,61.97,59.99,,,,,58.07,,,,,58.17,,,,,66.4
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,70.61,,,,75.14,,,,76.93,,,,76.61,,,,76.31,,,,76.22,72.86,,,,,73.33,,68.51,,,68.49,,,,,65.92,,,,,62.57,,,,,67.03,,,,70.05,,,
"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.47,,,,64.2,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,,,,,62.4,,,,60.53
Iceland,,,,,,,91.14,,,,91.37,,,,90.44,,,91.44,,,,90.27,89.34,,,,88.6,,,,90.1,,,,87.62,,,,87.38,,,,84.07,,,,87.7,,,,83.6,,85.12,,,,81.44,
Israel,,,,,81.34,,,,85.86,,,,81.2,,,,78.58,,,,79.23,,,,78.5,,,78.78,,,,79.66,,,,77.38,,,,79.32,,,78.73,,62.29,,67.81,,,63.55,,,64.72,,,67.77,,
Italy,,,,,,,92.88,,,,,92.79,,,,93.18,,,,93.37,,,90.35,,,,89.02,,,,88.86,,,,,87.44,,86.14,,82.91,,,,,81.44,,,,,83.62,,80.54,,,,,75.19,
Jamaica,,,,,,72.88,,,,,82.24,,,,,78.88,,,,85.21,,,,86.91,,,2.73,,,,,,78.38,,,,67.68,,,,65.42,,,,,59.06,,,,,60.4,,,,53.17,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.06,,,,54.77,,,,47.45,,,,,,57.75,,,,54,,,53,,,56.5,
Japan,,,,73.5,,,71.14,,,,73.98,,68.5,,,71.75,,,,73.44,,,68,74.56,,,67.94,,,63.99,,,,73.31,,,67.02,,,59.65,,,,60.62,,,59.8,,67.46,,,,69.27,,,59.32,,52.66
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.52,80.73,,,,62.56,,,,,56.49,,,68.41,,,,,75.44,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.84,,,,,65.45,,,,,57.18,,,,,69.09,,,,,,85.91,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,,,,64.41,,,,,59,,75.2,,,56.59,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.78,,,,,93.74,,,,,83.22,,,,,75.21,,,,,68.49,
Kiribati,,,,,,,,,,,,,,,,,,68,,,,81,,,,82.51,79.94,,,,84,,,,,,,,,,,,,,,,,,,,67.54,,,,,,,
St. Kitts and Nevis,,,,,68.75,,,,,73.42,,,,,87.9,,,,72.06,,,,,74.54,,,,77.74,,,,,66.77,,,,66.43,,68.37,,,,,64.24,,,,58.98,,,,,,83.51,,,,
"Korea, Rep.",,,,,,,,,,,76.12,,,,73.22,,71.36,,,,,77.09,,,78.42,,,,84.57,,,75.73,,,,71.86,,,,63.91,,,,57.21,,,,59.98,,,,46.01,,,,54.26,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.52,,,43.23,,,45.62,,,,42.63
Kuwait,,,,,,,,,,,,,,,,,,,58.24,,,,,,90,,,,84.59,,,,,,,85,,,,80,,,,,,,,,,91.92,,59.41,59,,,59.53,51.9,
Latin America & Caribbean (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,,,,,,,,,,,,,,,,67.76,,,,,,,,,,,,,,,,,,,,99.26,,,,,99.37,,,,,99.9,,,,99.76,,,,,99.69,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.35,,,,43.14,,,,44.97,,,,,46.47,,,,53.98,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.49,,,,,,71.64,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.58,,41.74
St. Lucia,,,,,,,,51.93,,,,,53.25,,,,,84.13,,,,,80.31,,,64.47,,,,,60.56,,,,,63.34,,,,,66.55,,,,31.54,,,,,58.46,,,,,56.84,,,
Latin America & Caribbean (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
