"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Greece","GRC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","11129","10793","9215","6512","10236","14430","20247","24200","26193","28468","17107","11063","4601","3077","2415","5690","17772","17360","21869","22743","22054","28946","35674","38695","39248","42047","40651","16728","14517","8806","11088","4942","1104","","241","1162","2167","","","2216","2407","","","",
"Grenada","GRD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","1962","","","","","200","","","199","713","986","995","812","","","","","","","","","","","","","","","","","","242","","119","757","","515","346","295","","","","","",
"Greenland","GRL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","205242","206665","211123","","219846","219570","","","225140","","","211290","241696","221820","","","","","","","","","","","","","","189369","","110598","91792","103518","77650","","38314","27080","14764","9104","16162","3285","13957","51235","98688","","",
"Guam","GUM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","10540","10484","","8977","","8159","3367","","4222","","","2943","","","","","","","","","","","","","1968","4517","","","","","","","1476","","","","","8432","13330","14061","16379","20110","","",
"High income","HIC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","3472984","2535721","2666323","2499333","2784772","2900274","2776036","2418766","2121845","1944520","1898277","1901819","1919629","2267459","2398343","2486577","2344507","2170972","1971439","1743818","1658890","1544271","1474700","1678348","1736114","1876859","1961789","1753783","1485674","1298327","1435730","1447894","1640495","1568536","","",
"Hong Kong SAR, China","HKG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","43952","39011","39023","34572","31108","31104","30670","30724","26649","12114","10498","12307","10864","8963","8341","","","","","","","","","","21195","17263","","","","","","","","","","","","6411","6919","7827","7950","1531","476","",
"Honduras","HND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","74230","73208","","39544","36678","34704","","42013","","","","","53559","","50663","","","","","","","61874","","","41677","29782","49713","25859","43986","27331","25249","29572","19818","38388","61178","",
"Heavily indebted poor countries (HIPC)","HPC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","10442988","10338342","10342300","10767959","10865138","11209780","11551772","11883190","12470276","12917464","13651076","14417716","14553689","15393989","16008261","16218173","15980371","16290570","15747732","16123765","16706424","16380854","15817903","14851037","14112349","13661326","12842594","11960140","11286387","10051514","10189633","10310694","10048251","10061177","","",
"Croatia","HRV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16237","6765","6522","5639","4458","3994","","1768","1613","1772","4665","8453","5321","2755","1815","","",
"Haiti","HTI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","273227","248003","235711","256389","236380","236644","295446","","","","","","","","","","284929","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51966","31303","10674","10031","8917","7992","7712","9990","10623","8110","6928","6909","4293","3221","3538","4721","6939","","",
"Indonesia","IDN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","2246135","2188594","","2108000","2156118","1923536","","971344","","","464001","","","","","","","","","36850","164552","265340","459761","379436","399602","642946","651467","","","","247448","361393","383554","491258","562474","383186","19039","278457","191914","387637","773410","771949","","",
"Isle of Man","IMN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","10384627","","","","","","","","","","","","","","","","","","","5697918","","","","","","","","","","4471530","4900584","5315347","4852298","","","","","","","","","","","",
"Not classified","INX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","13787","14446","14106","16598","17899","17976","17971","18162","18812","19751","21570","23090","24771","","","26084","24028","21712","20777","19814","19910","20678","21207","21575","21956","21659","19108","1078","","761","2402","","","","","","","","","1077","2292","857","","",
"Iran, Islamic Rep.","IRN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","295170","344972","362316","380174","405185","441435","173684","","57115","","","","","184899","","510196","531268","","129857","157068","46459","59578","","","","","","","","","",
"Iraq","IRQ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","172139","151906","134443","120529","161558","75517","94764","102756","21348","16566","44872","","105533","","104276","98084","70551","69409","66768","","","","296717","","","362647","","","92329","116710","","","11137","35038","","","65832","","","","","","","",
"Iceland","ISL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","380","","362","319","121","","","","","","198","169","241","332","225","129","219","270","327","","",
