Data Source	World Development Indicators																																																									
																																																										
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Bhutan	BTN	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																														67.96426392									
Botswana	BWA	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																92.25187683												95.59601593									97.89585114		
Central African Republic	CAF	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																17.9710865													34.85174942												49.01934814										26.97132492				
Canada	CAN	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Central Europe and the Baltics	CEB	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																															99.54717074										99.27165815										99.53453981				
Switzerland	CHE	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Channel Islands	CHI	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Chile	CHL	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																							97.11653137										98.7008667										99.18333435						99.19581604	98.89001465					
China	CHN	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																							82.09922028								91.45470428										98.50485992										99.59304047				
Cote d'Ivoire	CIV	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																													37.84593964										39.84909439		52.12516785												38.75008011		
Cameroon	CMR	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																	59.06317902																								77.96248627							77.48205566			76.42093658				
"Congo, Rep."	COG	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																				76.94607544			
Colombia	COL	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																		91.8465271			97.56674194								98.41067505	98.3748703	98.19490814	98.41899872	98.42686462	98.4347229	98.51719666	98.72434235			
Comoros	COM	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																					54.89903641																				77.55762482												86.51806641		
Cabo Verde	CPV	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																															86.41509247														98.02902985								98.39818573		
Costa Rica	CRI	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																									97.53813171																98.03840637											99.25811768			
Caribbean small states	CSS	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																									96.1250316										97.26334204				
Cuba	CUB	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																											99.95368958										99.98413086		
Curacao	CUW	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Cayman Islands	CYM	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																98.62332916							
Cyprus	CYP	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																	99.66419983									99.81523895										99.83831024			
Czech Republic	CZE	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Germany	DEU	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Djibouti	DJI	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Dominica	DMA	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Denmark	DNK	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																																																							
Dominican Republic	DOM	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																						83.93852234																					95.41704559					96.93073273			97.88348389	98.05364227	97.76922607	98.2525177	
Algeria	DZA	"Literacy rate, youth female (% of females ages 15-24)"	SE.ADT.1524.LT.FE.ZS																												62.211483															86.13399506				89.138237								
